EVENT,ID,TARGET1,TARGET2,LOGICAL_TIME,QUEUE_LENGTH,TIME
multisend,0,1,2,1,0,15
internal,0,-1,-1,2,0,30
multisend,0,1,2,3,0,45
internal,0,-1,-1,4,0,60
internal,0,-1,-1,5,0,75
send,0,2,-1,6,0,90
internal,0,-1,-1,7,0,105
internal,0,-1,-1,8,0,120
internal,0,-1,-1,9,0,135
internal,0,-1,-1,10,0,150
received,0,-1,-1,11,0,165
send,0,2,-1,12,0,180
internal,0,-1,-1,13,0,195
internal,0,-1,-1,14,0,210
internal,0,-1,-1,15,0,225
send,0,1,-1,16,0,240
multisend,0,1,2,17,0,255
multisend,0,1,2,18,0,270
internal,0,-1,-1,19,0,285
internal,0,-1,-1,20,0,300
send,0,2,-1,21,0,315
