EVENT,ID,TARGET1,TARGET2,LOGICAL_TIME,QUEUE_LENGTH,TIME,RATE
received,1,-1,-1,2,0,15,4
send,1,2,-1,3,0,30,4
internal,1,-1,-1,4,0,45,4
received,1,-1,-1,6,1,60,4
received,1,-1,-1,7,1,75,4
received,1,-1,-1,8,0,90,4
internal,1,-1,-1,9,0,105,4
received,1,-1,-1,11,0,120,4
send,1,2,-1,12,0,135,4
internal,1,-1,-1,13,0,150,4
internal,1,-1,-1,14,0,165,4
internal,1,-1,-1,15,0,180,4
received,1,-1,-1,18,0,195,4
internal,1,-1,-1,19,0,210,4
received,1,-1,-1,20,0,225,4
internal,1,-1,-1,21,0,240,4
internal,1,-1,-1,22,0,255,4
internal,1,-1,-1,23,0,270,4
internal,1,-1,-1,24,0,285,4
internal,1,-1,-1,25,0,300,4
internal,1,-1,-1,26,0,315,4
received,1,-1,-1,27,0,330,4
internal,1,-1,-1,28,0,345,4
received,1,-1,-1,31,0,360,4
