EVENT,ID,TARGET1,TARGET2,LOGICAL_TIME,QUEUE_LENGTH,TIME,RATE
multisend,0,1,2,1,0,12,5
multisend,0,1,2,2,0,24,5
send,0,1,-1,3,0,36,5
multisend,0,1,2,4,0,48,5
internal,0,-1,-1,5,0,60,5
multisend,0,1,2,6,0,72,5
multisend,0,1,2,7,0,84,5
internal,0,-1,-1,8,0,96,5
multisend,0,1,2,9,0,108,5
internal,0,-1,-1,10,0,120,5
send,0,2,-1,11,0,132,5
multisend,0,1,2,12,0,144,5
multisend,0,1,2,13,0,156,5
send,0,1,-1,14,0,168,5
multisend,0,1,2,15,0,180,5
internal,0,-1,-1,16,0,192,5
multisend,0,1,2,17,0,204,5
multisend,0,1,2,18,0,216,5
multisend,0,1,2,19,0,228,5
multisend,0,1,2,20,0,240,5
